#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2018 01 05 06 50  76  7.3  8.6  1.93 13.79  6.60 295 1023.6  21.2  22.3 999.0 99.0 99.00
2018 01 05 07 50  75  7.7 10.0  1.83  7.14  6.27  37 1023.7  21.2  22.3 999.0 99.0 99.00
2018 01 05 08 50  79  8.2  9.7  1.88  8.33  6.13  37 1023.6  21.2  22.3 999.0 99.0 99.00
2018 01 05 09 50  79  7.8  9.3  1.87 13.79  6.24 276 1023.3  21.1  22.1 999.0 99.0 99.00
2018 01 05 10 50  79  6.9  9.2  1.98 12.90  6.27 297 1022.9  21.1  22.1 999.0 99.0 99.00
2018 01 05 11 50  83  7.3  9.4  1.79  7.69  5.85  44 1023.2  21.0  22.1 999.0 99.0 99.00
2018 01 05 12 50  86  8.0 10.2  1.89  7.69  5.97  49 1022.9  21.0  22.1 999.0 99.0 99.00
2018 01 05 13 50  85  7.0  8.5  1.91 12.90  6.17 284 1022.8  21.0  22.1 999.0 99.0 99.00
2018 01 05 14 50  93  7.3  9.4  1.75 10.81  5.86 323 1022.7  21.0  22.1 999.0 99.0 99.00
2018 01 05 15 50  96  7.3  9.0  1.82 12.12  5.79 297 1023.2  21.0  22.1 999.0 99.0 99.00
2018 01 05 16 50  98  7.9  9.7  1.70 12.90  6.11 299 1023.3  21.0  22.0 999.0 99.0 99.00
2018 01 05 17 50  87  7.3  9.1  1.77 12.90  5.99 340 1024.0  21.1  22.0 999.0 99.0 99.00
2018 01 05 18 50  93  7.6  9.0  1.66  8.33  5.65  45 1024.6  21.4  22.1 999.0 99.0 99.00
2018 01 05 19 50  87  7.1  8.6  1.62  8.33  5.61  42 1025.1  21.6  22.2 999.0 99.0 99.00
2018 01 05 20 50  94  7.8  9.5  1.66  8.33  5.77  29 1024.8  21.6  22.2 999.0 99.0 99.00
2018 01 05 21 50  84  7.1  9.2  1.65  7.14  5.72  49 1024.0  21.5  22.2 999.0 99.0 99.00
2018 01 05 22 50  91  7.6  9.3  1.63  7.69  5.80  47 1022.6  21.5  22.2 999.0 99.0 99.00
2018 01 05 23 50  90  7.2  8.6  1.61  8.33  5.68  39 1021.8  21.5  22.3 999.0 99.0 99.00
2018 01 06 00 50  87  6.5  8.0  1.56  5.88  5.53  76 1021.9  21.5  22.3 999.0 99.0 99.00
2018 01 06 01 50  87  7.5  9.1  1.52  7.69  5.71  49 1022.0  21.7  22.4 999.0 99.0 99.00
2018 01 06 02 50  77  7.1  9.0  1.62  7.69  5.97  57 1022.3  21.6  22.4 999.0 99.0 99.00
2018 01 06 03 50  78  6.7  8.6  1.58  7.14  5.76  67 1023.0  21.6  22.4 999.0 99.0 99.00
2018 01 06 04 50  77  7.6  9.0  1.55  8.33  5.82  55 1023.3  21.7  22.4 999.0 99.0 99.00
2018 01 06 05 50  83  7.5  9.7  1.58  7.14  5.70  53 1023.9  21.9  22.4 999.0 99.0 99.00
2018 01 06 06 50  68  6.9  8.6  1.42  7.69  5.54  63 1024.4  21.9  22.4 999.0 99.0 99.00
2018 01 06 07 50  73  7.9  9.8  1.55  7.69  5.46  77 1024.5  21.9  22.4 999.0 99.0 99.00
2018 01 06 08 50  74  7.7  9.8  1.47  6.25  5.31  75 1024.5  21.8  22.4 999.0 99.0 99.00
2018 01 06 09 50  62  9.8 11.9  1.47  9.09  5.40  46 1024.1  21.2  22.4 999.0 99.0 99.00
2018 01 06 10 50  83  8.4 11.3  1.55  6.67  5.38  77 1023.9  20.8  22.5 999.0 99.0 99.00
2018 01 06 11 50  54  7.4  9.3  1.48  6.67  5.48  72 1023.4  20.7  22.5 999.0 99.0 99.00
2018 01 06 12 50  75  8.2  9.7  1.49  6.67  5.38  74 1023.2  21.8  22.6 999.0 99.0 99.00
2018 01 06 13 50  84  8.0  9.7  1.55  7.69  5.37  65 1023.1  21.9  22.6 999.0 99.0 99.00
2018 01 06 14 50  83  7.4  9.1  1.70  6.25  5.42  75 1023.3  21.8  22.6 999.0 99.0 99.00
2018 01 06 15 50  79  8.2  9.9  1.74  6.67  5.56  76 1023.5  21.8  22.6 999.0 99.0 99.00
2018 01 06 16 50  84  8.1  9.8  1.67  7.69  5.54  66 1024.0  21.9  22.7 999.0 99.0 99.00
2018 01 06 17 50  81  7.3  9.0  1.79  6.67  5.61  73 1024.4  21.8  22.7 999.0 99.0 99.00
2018 01 06 18 50  94  6.4  7.4  1.65 17.39  5.64 282 1024.9  21.2  22.7 999.0 99.0 99.00
2018 01 06 19 50  91  7.7  9.3  1.76  7.14  6.04  77 1024.9  21.6  22.7 999.0 99.0 99.00
2018 01 06 20 50  92  8.9 10.7  1.89 17.39  6.07  13 1024.3  22.1  22.8 999.0 99.0 99.00
2018 01 06 21 50  81  7.3  8.7  1.85 17.39  6.19 289 1023.6  22.2  22.8 999.0 99.0 99.00
2018 01 06 22 50  83  6.3  7.7  1.66 17.39  6.11 300 1023.2  22.5  22.8 999.0 99.0 99.00
2018 01 06 23 50  72  6.1  7.2  1.72 17.39  5.88 290 1022.5  22.1  22.8 999.0 99.0 99.00
2018 01 07 00 50  60  5.6  6.5  1.75 17.39  6.28 271 1022.6  22.0  22.8 999.0 99.0 99.00
2018 01 07 01 50  69  6.8  8.4  1.93 16.00  6.80 307 1022.4  22.4  22.8 999.0 99.0 99.00
2018 01 07 02 50  74  6.3  7.2  1.85 16.00  6.32 324 1022.8  22.3  22.8 999.0 99.0 99.00
2018 01 07 03 50  62  6.9  7.9  1.65  7.14  6.16  88 1023.3  22.2  22.8 999.0 99.0 99.00
2018 01 07 04 50  66  5.3  6.5  1.97 16.00  6.48 295 1023.9  22.3  22.8 999.0 99.0 99.00
2018 01 07 05 50  51  7.8  9.2  1.91 16.00  6.88 305 1024.1  21.7  22.8 999.0 99.0 99.00
2018 01 07 06 50  37  7.6  8.9  2.31 16.00  7.36 286 1024.6  20.9  22.8 999.0 99.0 99.00
2018 01 07 07 50  58  6.6  7.8  1.98 16.00  7.02 292 1024.5  21.3  22.8 999.0 99.0 99.00
2018 01 07 08 50  61  7.7  9.0  1.95 14.81  6.59 323 1024.3  21.3  22.8 999.0 99.0 99.00
2018 01 07 09 50  48  6.2  7.4  1.80 14.81  6.32 304 1024.0  21.1  22.8 999.0 99.0 99.00
2018 01 07 10 50  57  9.2 11.8  1.83 14.81  6.51 288 1023.4  20.5  22.7 999.0 99.0 99.00
2018 01 07 11 50  63  6.8  8.3  2.01 14.81  6.76 298 1023.1  21.1  22.7 999.0 99.0 99.00
2018 01 07 12 50  73  8.1  9.8  1.99 16.00  6.72 288 1022.5  20.8  22.7 999.0 99.0 99.00
2018 01 07 13 50  61  9.4 11.2  1.92 14.81  6.02 314 1022.1  21.6  22.7 999.0 99.0 99.00
2018 01 07 14 50  60 10.6 12.6  2.01 14.81  6.08 298 1022.0  21.4  22.8 999.0 99.0 99.00
2018 01 07 15 50  62  9.9 12.1  2.23 14.81  6.25 304 1022.5  21.3  22.7 999.0 99.0 99.00
2018 01 07 16 50  76 11.0 14.6  2.34 14.81  6.55 295 1022.8  20.8  22.7 999.0 99.0 99.00
2018 01 07 17 50  68  8.9 11.6  2.18 13.79  6.32 320 1023.5  20.9  22.7 999.0 99.0 99.00
2018 01 07 18 50  66  9.3 11.0  2.64 14.81  6.86 299 1023.7  22.1  22.8 999.0 99.0 99.00
2018 01 07 19 50  70  8.5 10.3  2.30 14.81  6.36 294 1023.9  22.0  22.8 999.0 99.0 99.00
2018 01 07 20 50  81  8.1  9.7  2.43 13.79  6.51 292 1023.5  22.3  22.8 999.0 99.0 99.00
2018 01 07 21 50  70  7.8  9.6  2.38 14.81  6.87 288 1022.7  22.2  22.8 999.0 99.0 99.00
2018 01 07 22 50  78  8.4 10.3  2.67 14.81  7.01 294 1021.7  22.2  22.8 999.0 99.0 99.00
2018 01 07 23 50  67  8.1  9.6  2.68 13.79  7.09 293 1020.9  22.3  22.8 999.0 99.0 99.00
2018 01 08 00 50  68  8.0  9.5  2.60 14.81  7.17 284 1020.7  22.3  22.9 999.0 99.0 99.00
2018 01 08 01 50  69  7.7  9.8  2.59 13.79  7.44 295 1020.4  22.3  22.8 999.0 99.0 99.00
2018 01 08 02 50  69  7.7  9.3  2.62 13.79  7.32 291 1020.3  22.3  22.8 999.0 99.0 99.00
2018 01 08 03 50  73  7.8  9.3  2.50 14.81  7.14 301 1020.6  22.2  22.8 999.0 99.0 99.00
2018 01 08 04 50  69  7.8  9.3  2.37 13.79  7.08 297 1021.3  22.2  22.8 999.0 99.0 99.00
2018 01 08 05 50  70  7.7  9.1  2.68 14.81  7.77 290 1021.7  22.3  22.8 999.0 99.0 99.00
2018 01 08 06 50  61  7.3  9.0  2.47 13.79  7.04 322 1021.9  21.5  22.8 999.0 99.0 99.00
2018 01 08 07 50  63  8.2  9.7  2.31 14.81  7.18 298 1022.0  21.5  22.8 999.0 99.0 99.00
2018 01 08 08 50  66  8.3  9.9  2.40 13.79  7.12 301 1021.7  21.4  22.8 999.0 99.0 99.00
2018 01 08 09 50  70  7.6  9.4  2.39 14.81  7.11 309 1021.4  20.9  22.8 999.0 99.0 99.00
2018 01 08 10 50  66  8.1  9.5  2.28 13.79  7.26 293 1021.1  21.4  22.8 999.0 99.0 99.00
2018 01 08 11 50  69  8.6 10.9  2.43 14.81  7.04 310 1020.7  21.4  22.8 999.0 99.0 99.00
2018 01 08 12 50  82  9.2 11.5  2.38 13.79  6.90 286 1019.9  21.0  22.8 999.0 99.0 99.00
2018 01 08 13 50  76  8.4  9.9  2.40 13.79  6.64 305 1019.4  21.1  22.8 999.0 99.0 99.00
2018 01 08 14 50  88  7.4  8.9  2.39 13.79  6.49 282 1019.4  20.6  22.8 999.0 99.0 99.00
2018 01 08 15 50  97  7.6  9.3  2.30 13.79  6.53 308 1019.8  21.9  22.8 999.0 99.0 99.00
2018 01 08 16 50  93  6.9  8.9  2.30  7.69  6.53  90 1020.8  22.1  22.8 999.0 99.0 99.00
2018 01 08 17 50  92  5.7  8.4  2.40 14.81  6.75 296 1021.4  21.4  22.8 999.0 99.0 99.00
2018 01 08 18 50  71  6.5  8.1  2.33 13.79  6.62 293 1021.9  21.8  22.8 999.0 99.0 99.00
